,headlines,raw_links
1044,Fujifilm building a plant in Japan to produce liposomes, https://www.fiercepharma.com/manufacturing/fujifilm-building-a-plant-japan-to-produce-liposomes
1045,Pain-free patch could boost flu vaccine rates, https://www.fiercepharma.com/vaccines/new-pain-free-microneedle-patch-could-help-boost-vaccination-rate
1046,Nanoparticles alone form 'wave of destruction' against cancer cells, https://www.fiercepharma.com/drug-delivery/nanoparticles-alone-form-wave-destruction-against-cancer-cells
1047,Bayer partners with DelSiTech in ophthalmology drug delivery technology, https://www.fiercepharma.com/drug-delivery/bayer-partners-delsitech-ophthalmology-drug-delivery-technology
1048,Could EpiPen's plastic cap be Mylan's secret weapon?, https://www.fiercepharma.com/drug-delivery/could-a-plastic-cap-epipen-have-given-mylan-its-market-dominance
1049,Carnegie Mellon researchers looking at edible batteries as the next drug delivery system, https://www.fiercepharma.com/drug-delivery/carnegie-mellon-researchers-looking-at-edible-batteries-as-next-drug-delivery-system
1050,Intrexon recruits two startups with drug delivery applications, https://www.fiercepharma.com/drug-delivery/intrexon-recruits-two-startups-drug-delivery-applications
1051,Recipharm inks $205M deal with India’s Kemwell to expand reach, https://www.fiercepharma.com/drug-delivery/recipharm-inks-205m-deal-india-s-kemwell-to-expand-reach
1052,Lonza's potential Catalent buy remains under wraps, https://www.fiercepharma.com/drug-delivery/lonza-s-potential-catalent-buy-remains-under-wraps
1053,"Lilly suffers another FDA snub, this time for lebrikizumab", https://www.fiercepharma.com/pharma/eli-lilly-slapped-third-fda-rejection-2023-time-eczema-treatment-lebrikizumab
1054,Lilly moves to settle whistleblower lawsuit, https://www.fiercepharma.com/pharma/eli-lilly-moves-settle-whistleblower-lawsuit-alleging-trulicity-manufacturing-shortfalls
1055,Hermes earmarks €25M to expand oral drug production capacity, https://www.fiercepharma.com/manufacturing/hermes-pharma-earmarks-25m-euros-expand-oral-dosage-production-capacity
1056,WuXi plots hundreds of hires at first standalone vaccine plant, https://www.fiercepharma.com/pharma/wuxi-unveils-standalone-vaccines-cdmo-site-china-where-it-plans-employ-more-500
1057,MilliporeSigma christens €28M pair of mRNA production plants, https://www.fiercepharma.com/pharma/merck-kgaas-milliporesigma-pumps-eu28m-2-new-mrna-production-plants
1058,Pfizer resumes production at tornado-hit plant in North Carolina, https://www.fiercepharma.com/pharma/pfizer-restarts-production-early-tornado-hit-nc-plant-supply-squeezes-are-expected-persist
