,0
0, https://www.fiercepharma.com/pharma/amid-china-launch-merck-cites-supply-limits-plan-to-scale-down-rotateq-shipments-africa
1, https://www.fiercepharma.com/pharma/as-promised-dupixent-and-vaccines-reboot-sanofi-back-to-growth
