,url,date,tags
384, https://www.fiercepharma.com/vaccines/news-note-hiv-vaccine-canada-cepi-donation-and-more,"Dec 19, 2018 9:45am","['Influenza', 'CEPI']"
385, https://www.fiercepharma.com/vaccines/only-active-lyme-disease-vaccine-program-by-valneva-now-phase-2,"Dec 19, 2018 8:56am","['ticks', 'vaccine development', 'GSK', 'Valneva', 'Fierce Pharma']"
386, https://www.fiercepharma.com/vaccines/flu-vaccination-rates-better-so-far-season-cdc-says,"Dec 18, 2018 2:37pm","['Influenza', 'Centers for Disease Control and Prevention', 'GSK', 'Sanofi', 'Seqirus']"
387, https://www.fiercepharma.com/pharma/merck-teams-brazilian-vaccine-institute-for-dengue-work,"Dec 13, 2018 12:35pm","['Dengue fever', 'Dengvaxia', 'Merck & Co.', 'National Institutes of Health', 'Sanofi Pasteur', 'Fierce Pharma', 'Vaccines']"
388, https://www.fiercepharma.com/vaccines/news-note-inovio-astrazeneca-hpv-study-changsheng-and-more,"Dec 12, 2018 8:30am","['HPV', 'AstraZeneca', 'China', 'IAVI', 'Inovio Pharmaceutical']"
389, https://www.fiercepharma.com/vaccines/merck-s-ebola-vaccine-has-major-impact-but-u-s-should-help-as-outbreak-worsens-experts,"Dec 11, 2018 11:46am","['Ebola', 'vaccine development', 'Centers for Disease Control and Prevention', 'Merck & Co.', 'World Health Organization', 'Fierce Pharma']"
390, https://www.fiercepharma.com/pharma/glaxosmithkline-shingrix-shortage-expected-to-persist-throughout-2019-cdc-says,"Dec 11, 2018 9:08am","['shortage', 'Centers for Disease Control and Prevention', 'GSK', 'Shingrix', 'Fierce Pharma', 'Pharma']"
391, https://www.fiercepharma.com/vaccines/global-coalition-invests-imperial-college-london-s-rna-vaccine-platform-to-fight-disease-x,"Dec 10, 2018 12:38pm","['infectious disease', 'vaccine development', 'CEPI', 'Fierce Pharma', 'Manufacturing']"
392, https://www.fiercepharma.com/vaccines/news-note-gardasil-cervarix-divide-flu-vaccines-and-more,"Dec 5, 2018 10:20am","['anti-vaccine', 'flu vaccine', 'HPV', 'Cervarix', 'Gardasil 9', 'GSK', 'Shingrix']"
393, https://www.fiercepharma.com/vaccines/who-concerned-about-supplies-merck-s-ebola-vaccine-amid-outbreak-report,"Dec 5, 2018 10:10am","['Ebola', 'vaccine development', 'Ebola vaccine', 'GSK', 'Johnson & Johnson', 'Merck & Co.', 'World Health Organization']"
394, https://www.fiercepharma.com/vaccines/janssen-merck-chip-for-100m-u-k-vaccine-center-to-help-fight-epidemics,"Dec 4, 2018 10:56am","['Ebola', 'Pandemic Preparedness', 'vaccine development', 'vaccine manufacturing', 'Johnson & Johnson', 'Merck & Co.', 'U.K.', 'Fierce Pharma', 'Pharma', 'Manufacturing']"
395, https://www.fiercepharma.com/vaccines/after-dengvaxia-scandal-experts-warn-measles-threat-philippines,"Dec 3, 2018 4:33pm","['Dengue fever', 'measles', 'Dengvaxia', 'Sanofi', 'Takeda', 'U.S. FDA', 'World Health Organization']"
396, https://www.fiercepharma.com/vaccines/merck-quadruples-gardasil-supply-china-contract-but-still-might-not-meet-full-demand,"Nov 12, 2018 10:38am","['HPV', 'vaccine manufacturing', 'China', 'Chongqing Zhifei Biological Products', 'Gardasil', 'Gardasil 9', 'Merck & Co.', 'Fierce Pharma', 'Asia']"
397, https://www.fiercepharma.com/pharma/themis-eyes-phase-3-for-chikungunya-vaccine-after-passing-midstage-test,"Nov 7, 2018 10:10am","['CEPI', 'Chikungunya', 'GSK', 'PaxVax', 'Themis Bioscience', 'Fierce Pharma', 'Vaccines']"
398, https://www.fiercepharma.com/vaccines/news-note-pfizer-results-gsk-shortage-and-more,"Nov 6, 2018 4:02pm","['drug shortage', 'Canada', 'GSK', 'Pfizer', 'Prevnar']"
399, https://www.fiercepharma.com/pharma/amid-china-launch-merck-cites-supply-limits-plan-to-scale-down-rotateq-shipments-africa,"Nov 1, 2018 12:27pm","['childhood vaccines', 'GAVI', 'GSK', 'Merck & Co.', 'rotateq', 'World Health Organization', 'Fierce Pharma', 'Asia', 'Manufacturing', 'Vaccines']"
400, https://www.fiercepharma.com/pharma/despite-tight-supply-gsk-s-shingrix-zooms-to-blockbuster-status,"Oct 31, 2018 12:35pm","['Earnings', 'financials', 'Advair', 'GSK', 'Nucala', 'Shingrix', 'Fierce Pharma', 'Vaccines']"
401, https://www.fiercepharma.com/pharma/as-promised-dupixent-and-vaccines-reboot-sanofi-back-to-growth,"Oct 31, 2018 12:33pm","['asthma', 'drug sales', 'Earnings', 'flu vaccine', 'Cablivi', 'China', 'Dupixent', 'FluBlok', 'Genzyme', 'Libtayo', 'Olivier Brandicourt', 'Pentaxim', 'Sanofi', 'Fierce Pharma', 'Vaccines']"
402, https://www.fiercepharma.com/vaccines/news-note-flu-vaccines-curevac-and-more,"Oct 31, 2018 8:40am","['universal flu vaccine', 'CureVac']"
403, https://www.fiercepharma.com/vaccines/sanofi-s-dengvaxia-wins-fda-priority-review-despite-controversial-past,"Oct 30, 2018 5:16pm","['Dengue fever', 'priority', 'Dengvaxia', 'Sanofi', 'Sanofi Pasteur', 'U.S. FDA', 'Fierce Pharma', 'Pharma']"
404, https://www.fiercepharma.com/vaccines/invectys-raises-eu15-million-series-a-to-fund-dna-cancer-vaccine-study-cll,"Oct 30, 2018 10:08am","['cancer vaccine', 'chronic lymphocytic leukemia', 'combination therapy', 'immuno-oncology', 'MD Anderson Cancer Center']"
405, https://www.fiercepharma.com/vaccines/merck-s-gardasil-has-a-monster-q3-unprecedented-global-demand-driving-growth,"Oct 29, 2018 12:25pm","['Adam Schechter', 'Gardasil', 'Gardasil 9', 'Merck & Co.', 'U.S. FDA', 'Fierce Pharma', 'Pharma', 'Manufacturing']"
406, https://www.fiercepharma.com/vaccines/johnson-johnson-opens-eu72m-vaccine-plant-to-support-larger-clinical-trials-possible,"Oct 25, 2018 10:23am","['Ebola', 'HIV', 'Influenza', 'RSV', 'Crucell', 'Janssen Biotech', 'Johnson & Johnson', 'Zika', 'Fierce Pharma', 'Pharma', 'Manufacturing']"
407, https://www.fiercepharma.com/vaccines/news-note-altimmune-ebola-and-more,"Oct 24, 2018 8:55am","['Ebola', 'Influenza', 'Seqirus']"
408, https://www.fiercepharma.com/vaccines/j-j-touts-latest-immune-response-data-for-mosaic-hiv-vaccine-program,"Oct 23, 2018 4:55pm","['HIV', 'vaccine development', 'Gates Foundation', 'GSK', 'Johnson & Johnson', 'National Institutes of Health', 'Sanofi', 'Sanofi Pasteur', 'Fierce Pharma', 'Pharma']"
409, https://www.fiercepharma.com/vaccines/seqirus-flucelvax-nears-europe-s-first-approval-for-cell-based-flu-vaccine,"Oct 23, 2018 10:30am","['Influenza', 'Chmp', 'Flucelvax', 'Novartis', 'Seqirus', 'Fierce Pharma', 'Pharma']"
410, https://www.fiercepharma.com/vaccines/nih-grants-idt-biologika-10-year-contract-for-vaccines-and-biologics-manufacturing,"Oct 23, 2018 10:10am","['contract manufacturer', 'infectious disease', 'vaccine manufacturing', 'IDT Biologika', 'NIAID', 'NIH', 'Fierce Pharma', 'Manufacturing']"
411, https://www.fiercepharma.com/vaccines/officials-deny-shortage-seqirus-fluad-u-k-as-season-nears,"Oct 17, 2018 11:00am","['flu vaccine', 'Influenza', 'Fluad', 'Seqirus', 'United Kingdom', 'Fierce Pharma', 'Pharma']"
412, https://www.fiercepharma.com/vaccines/news-note-sanofi-s-dengvaxia-hpv-vaccine-and-more,"Oct 17, 2018 10:05am","['Dengvaxia', 'Inovio Pharmaceutical', 'Sanofi', 'Valneva', 'Walter Reed Army Institute of Research']"
413, https://www.fiercepharma.com/vaccines/china-slaps-monstrous-1-3b-penalty-vaccine-scandal-culprit-changsheng,"Oct 16, 2018 10:53am","['public health', 'Quality', 'Rabies Vaccine', 'vaccine safety', 'China', ""China's National Medical Products Administration (NMPA)"", 'Fierce Pharma', 'Asia', 'Manufacturing']"
414, https://www.fiercepharma.com/vaccines/worrying-trend-vaccination-rates-u-s-children-keep-dropping-cdc-reports,"Oct 16, 2018 10:22am","['anti-vaccine', 'Centers for Disease Control and Prevention', 'Fierce Pharma']"
415, https://www.fiercepharma.com/vaccines/news-note-tapimmune-s-breast-cancer-combo-iavi-s-hiv-vaccine-and-more,"Oct 10, 2018 9:20am","['breast cancer', 'HIV', 'Japanese encephalitis', 'universal flu vaccine', 'Department of Defense', 'Herceptin', 'IAVI', 'NIH', 'TapImmune', 'Valneva']"
416, https://www.fiercepharma.com/vaccines/news-note-novavax-walter-reed-and-more,"Sep 26, 2018 2:05am","['BARDA', 'Novavax', 'Walter Reed']"
417, https://www.fiercepharma.com/vaccines/glaxosmithkline-fails-to-warn-pandemic-flu-vaccine-s-alarming-safety-signal-bmj-report,"Sep 20, 2018 7:01pm","['flu vaccine', 'Influenza', 'pandemic', 'pharmacovigilance', 'swine flu', 'vaccine safety', 'GSK', 'H1N1', 'H1N1 vaccine', 'Pandemrix', 'Fierce Pharma', 'Pharma']"
418, https://www.fiercepharma.com/vaccines/racing-merck-pfizer-wins-fda-breakthrough-tag-for-20-valent-pneumococcal-vaccine,"Sep 20, 2018 10:56am","['pneumococcal vaccine', 'Merck & Co.', 'Pfizer', 'Prevnar', 'Fierce Pharma', 'Pharma']"
419, https://www.fiercepharma.com/vaccines/news-note-flugen-sinovac-and-more,"Sep 19, 2018 9:30am","['Influenza', 'FluGen', 'Inovio Pharmaceutical', 'Sinovac Biotech']"
420, https://www.fiercepharma.com/vaccines/seeking-efficacy-data-scientists-weigh-zika-challenge-study-report,"Sep 18, 2018 9:50am","['Drug Efficacy', 'infectious disease', 'mosquito-bourne illness', 'NIAID', 'Sanofi', 'Takeda', 'Zika', 'Fierce Pharma', 'Pharma']"
421, https://www.fiercepharma.com/vaccines/pfizer-all-advancing-next-gen-pneumococcal-vaccine-candidate-cfo,"Sep 17, 2018 12:03pm","['pneumococcal disease', 'pneumococcal vaccine', 'Merck & Co.', 'Pfizer', 'Prevnar', 'Fierce Pharma', 'Pharma', 'Marketing']"
